City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,fale old settlement,60.0873,-162.856,8.770000000000039,84,100,11.87,US,1726428852
66,georgetown,63.7106,-142.3782,4.2000000000000455,90,100,0.97,US,1726428859
67,mianyang,18.2113,97.1195,19.939999999999998,99,94,0.47,MM,1726428866
68,dapa,41.2931,-2.739,17.0,27,0,2.89,ES,1726428867
69,mozelos,40.419,19.9546,13.980000000000018,87,100,1.78,AL,1726428875
70,carutapera,-14.4071,-43.6418,33.52000000000004,20,0,2.48,BR,1726428879
71,comodoro rivadavia,-36.9574,145.5352,-0.46999999999997044,95,85,2.71,AU,1726428889
72,faya-largeau,54.7431,91.2032,-1.2699999999999818,97,48,1.76,RU,1726428890
73,cafayate,27.3879,-80.5422,30.58000000000004,75,100,3.12,US,1726428893
74,villa rica,72.1728,-128.9117,3.8799999999999955,88,100,9.16,CA,1726428894
75,pangody,46.3136,-69.0695,26.25,38,7,2.43,US,1726428900
76,kapuskasing,78.546,-100.2905,-2.9799999999999613,94,98,3.5,CA,1726428904
77,kone,64.5994,-53.9955,3.230000000000018,93,28,7.46,GL,1726428915
78,niebull,42.8306,90.6583,20.360000000000014,22,8,0.47,CN,1726428916
79,archangelos,56.7318,161.8905,3.9399999999999977,87,100,0.76,RU,1726428918
80,sao vicente,-23.9263,16.3847,13.990000000000009,13,2,2.05,NA,1726428919
81,puerto san carlos,35.5102,-6.0453,25.060000000000002,71,37,5.34,MA,1726428925
82,as sulayyil,19.7463,-98.7242,23.510000000000048,47,100,0.95,MX,1726428926
83,minas de marcona,29.6325,50.3766,32.200000000000045,53,3,2.74,IR,1726428930
84,dunhua,-22.3407,26.8754,27.660000000000025,19,69,2.64,BW,1726428933
85,zav'yalovo,-23.9503,27.8677,25.0,28,72,2.32,ZA,1726428937
86,pokrovsk,48.4741,-114.5367,13.560000000000002,66,100,1.26,US,1726428941
87,ramadi,-5.5221,10.756,23.629999999999995,88,39,3.48,CG,1726428942
88,ballina,68.6571,-133.1535,10.220000000000027,81,88,5.66,CA,1726428944
89,tshabong,52.7504,78.8798,5.8799999999999955,64,0,5.72,RU,1726428953
90,akobo,-26.9134,115.18,16.430000000000007,35,0,9.47,AU,1726428955
91,kristiansund,28.2716,71.8582,32.43000000000001,36,0,4.48,PK,1726428956
92,yamada,42.0033,45.914,8.220000000000027,54,19,3.08,GE,1726428959
93,mossel bay,29.3467,-81.6074,30.0,80,100,1.6,US,1726428960
94,gebeit,52.7265,-1.8167,15.200000000000045,88,100,2.64,GB,1726428961
95,saint-pierre,58.9456,81.1467,2.3100000000000023,80,8,3.43,RU,1726428967
96,sur,-22.9028,33.2462,27.58000000000004,41,0,3.43,MZ,1726428980
97,vylkove,51.6406,53.7849,18.07000000000005,49,100,4.44,RU,1726428987
98,port isabel,59.2249,143.3758,7.760000000000048,69,46,5.08,RU,1726428990
99,constantia,16.7268,-2.0206,36.370000000000005,31,31,8.49,ML,1726428994
100,comayagua,48.8364,63.6596,16.27000000000004,46,11,5.02,KZ,1726429007
101,guerrero negro,58.6257,-76.0678,17.840000000000032,60,100,7.93,CA,1726429015
102,yajiwa,-4.4232,-72.4196,38.18000000000001,27,62,1.76,PE,1726429017
103,iskateley,47.3905,-90.1293,18.370000000000005,93,44,2.43,US,1726429018
104,reyhanli,67.8919,123.0627,-1.3999999999999773,92,100,2.9,RU,1726429031
